2022-09-01 08:50:50,106 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:50:50,106 , INFO:20 , c_to_f , Info log information
2022-09-01 08:50:50,107 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:50:50] "GET /?celsius=testing HTTP/1.1" 200 -
2022-09-01 08:50:53,851 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:50:53,852 , INFO:20 , c_to_f , Info log information
2022-09-01 08:50:53,852 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:50:53] "GET /?celsius=i+am+fabulous HTTP/1.1" 200 -
2022-09-01 08:53:45,719 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:53:45,719 , INFO:20 , c_to_f , Info log information
2022-09-01 08:53:45,719 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:53:45] "GET /?celsius= HTTP/1.1" 200 -
2022-09-01 08:53:48,013 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:53:48,013 , INFO:20 , c_to_f , Info log information
2022-09-01 08:53:48,014 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:53:48] "GET /?celsius=i+am+fabulous HTTP/1.1" 200 -
2022-09-01 08:53:48,149 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:53:48,149 , INFO:20 , c_to_f , Info log information
2022-09-01 08:53:48,149 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:53:48] "GET /?celsius=i+am+fabulous HTTP/1.1" 200 -
2022-09-01 08:53:48,271 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:53:48,272 , INFO:20 , c_to_f , Info log information
2022-09-01 08:53:48,272 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:53:48] "GET /?celsius=i+am+fabulous HTTP/1.1" 200 -
2022-09-01 08:53:48,385 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:53:48,386 , INFO:20 , c_to_f , Info log information
2022-09-01 08:53:48,386 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:53:48] "GET /?celsius=i+am+fabulous HTTP/1.1" 200 -
2022-09-01 08:53:48,548 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:53:48,548 , INFO:20 , c_to_f , Info log information
2022-09-01 08:53:48,549 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:53:48] "GET /?celsius=i+am+fabulous HTTP/1.1" 200 -
2022-09-01 08:53:48,717 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:53:48,717 , INFO:20 , c_to_f , Info log information
2022-09-01 08:53:48,718 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:53:48] "GET /?celsius=i+am+fabulous HTTP/1.1" 200 -
